NRPD,POIT,MTPD,DSMT,13MT,14MT,CPIT,UMIT,PNIT,PBIT,VOIT,VLIT,MOIT,PLIT,CEIT,FEIT,STIP,ENIT,POEN,FEEN,HREN,CPEN,CTEN,STIT,BQEN,DSBQ,BQFA,DSBF,MTEN,DSEN,13EN,14EN,CPCP,SHID,HSID,CCEN,FECE,HRCE,CPCE,PNCC,PBCC,VOCC,PLCC,ENPG,PGFE,PGHR,PGUS,CDEN,ENRE,REFE,REHR,REUS,ENFA,ENFE,FATY,FAFE,FAHR,FAUS,CTFA,PNFA,PBFA,VOFA,VLFA,PLFA
2390055,10,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,CS,5.18,5.58,,1554.97,ARS,0.02,6245,02/06/2016,,83084074,10,02/05/2016,,,6245,C,,,,,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,2425245,,1,,,,5.18,5.58,,0.02,4915210735,02/05/2016,,,1,8094R00005801,,,,907655897,4514A00005358,ZF2,02/05/2016,,,1,5.18,5.58,,,0.02
2390055,20,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,1554.97,ARS,0.02,6245,02/06/2016,,83084074,20,02/05/2016,,,6245,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2425245,,1,,,,4.44,5.34,,0.02,4915210735,02/05/2016,,,1,8094R00005801,,,,907655897,4514A00005358,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390056,10,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,CS,5.18,5.58,,1808.18,ARS,0.02,6207,02/06/2016,,83084075,10,02/05/2016,,,6207,C,,,,,121MZ1371,PIZZETA MOZZARELLA GRANEL COLOR 28X185G,,,1,2424863,,1,,,,5.18,5.58,,0.02,4915207962,02/05/2016,,,1,8059R00160141,,,,907655726,4508A00083685,ZF2,02/05/2016,,,1,5.18,5.58,,,0.02
2390056,20,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,CS,4.44,5.796,,1808.18,ARS,0.02,6207,02/06/2016,,83084075,20,02/05/2016,,,6207,C,,,,,121MZ2381,PIZZETA MICROONDAS MOZZARELLA 12X370G,,,1,2424863,,1,,,,4.44,5.796,,0.02,4915207962,02/05/2016,,,1,8059R00160141,,,,907655726,4508A00083685,ZF2,02/05/2016,,,1,4.44,5.796,,,0.02
2390057,10,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,CS,4.44,5.34,,1274.16,ARS,0.02,6207,02/06/2016,,83084076,10,02/05/2016,,,6207,C,,,,,121MZ3311,PIZZETA MOZZARELLA 8X555G,,,1,2424978,,1,,,,4.44,5.34,,0.02,4915208447,02/05/2016,,,1,8059R00160187,,,,907655773,4508A00083719,ZF2,02/05/2016,,,1,4.44,5.34,,,0.02
2390057,20,121MZ2121,MOZZARELLA 5X940G,,,1,CS,4.7,5.6,,1274.16,ARS,0.01,6207,02/06/2016,,83084076,20,02/05/2016,,,6207,C,,,,,121MZ2121,MOZZARELLA 5X940G,,,1,2424978,,1,,,,4.7,5.6,,0.01,4915208447,02/05/2016,,,1,8059R00160187,,,,907655773,4508A00083719,ZF2,02/05/2016,,,1,4.7,5.6,,,0.01
2390058,10,1000002504,MOZZARELLA 10X680G NUEVA SIBARITA,,,1,CS,6.8,7.48,,705.2,ARS,0.02,6207,02/10/2016,,83084077,10,02/05/2016,,,6207,C,,,,,1000002504,MOZZARELLA 10X680G NUEVA SIBARITA,,,1,2424978,,1,,,,6.8,7.48,,0.02,4915208448,02/05/2016,,,1,8059R00160188,,,,907655785,4508A00083731,ZF2,02/05/2016,,,1,6.8,7.48,,,0.02
2390059,10,110A21991,GOLDEN LONGS 12X1KG,,,1,CS,12,12.76,,2673.34,ARS,0.02,6210,02/06/2016,,83084078,10,02/05/2016,,,6210,C,,,,,110A21991,GOLDEN LONGS 12X1KG,,,1,2425601,,1,,,,12,12.76,,0.02,4915212442,02/05/2016,,,1,1160R00007889,,,,907656015,4510A00003372,ZF2,02/05/2016,,,1,12,12.76,,,0.02
2390059,20,110A71091,"CORTE TRADICIONAL 10X1,5KG",,,1,CS,15,15.79,,2673.34,ARS,0.02,6210,02/06/2016,,83084078,20,02/05/2016,,,6210,C,,,,,110A71091,"CORTE TRADICIONAL 10X1,5KG",,,1,2425601,,1,,,,15,15.79,,0.02,4915212442,02/05/2016,,,1,1160R00007889,,,,907656015,4510A00003372,ZF2,02/05/2016,,,1,15,15.79,,,0.02
2390059,30,1000002583,MINI-TORTILLA DE  PAPA 32 X 0.210KG,,,1,CS,6.72,7.17,,2673.34,ARS,0.01,6210,02/06/2016,,83084078,30,02/05/2016,,,6210,C,,,,,1000002583,MINI-TORTILLA DE  PAPA 32 X 0.210KG,,,1,2425601,,1,,,,6.72,7.17,,0.01,4915212442,02/05/2016,,,1,1160R00007889,,,,907656015,4510A00003372,ZF2,02/05/2016,,,1,6.72,7.17,,,0.01
