TPPD,ORVT,OFVT,VEVT,NRPD,FEPD,HRPD,CPPD,OCPD,FCOC,FVOC,FPEN,STPD,DSST,DRST,CIST,CPST,TEST,PAST,PYDD,DSPY,BTPD,DSBT,CUBT,SPPD,DSSP,DRSP,CISP,CPSP,TESP,PASP,INSP,RGSP,ZSTP,ICPD,LIPD,PESP,CTSP,DSCT,UNPD,UMPD,PNPD,PBPD,VOPD,VLPD,MOPD,PLPD,STEN
ZOR,AR01,AR01,,2398984,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413346,,,,,,,1000417454,COOP.OBRERA LTDA. DE CONSUMO Y VIVI,,,,1000413346,COOP.OBRERA 51 GRAL. PAZ,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,2,CS,19,20.23,,908.76,ARS,0.02,C
ZOR,AR01,AR01,,2399031,02/09/2016,00/01/1900,,,02/09/2016,,02/11/2016,1000414310,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414310,CARREFOUR 6 SALGUERO,,CAPITAL FEDERAL,1425,,,,0,AR-BUE-SMK,DEL,,2,6207,,9,CS,115,119.94,,2109.71,ARS,0.12,C
ZOR,AR01,AR01,,2399071,02/09/2016,00/01/1900,,,02/09/2016,,02/11/2016,1000413269,,,,,,,1000417451,SALKE FRESH S.R.L.,,,,1000413269,SALKE FRESH S.R.L.,,SAN JUSTO,1754,,,,1,AR-BUE-DIS,DEL,,3,6207,,130,CS,2190,2275.4,,50504.4,ARS,2.5,C
ZOR,AR01,AR01,,2399182,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413928,,,,,,,1000417466,JUMBO RETAIL ARGENTINA S.A.,,,,1000413928,DISCO 453 RUTA 9,,CORDOBA,5000,,,,3,AR-CTRO-CO,DEL,,2,6211,,12,CS,98.3,106.265,,3632.64,ARS,0.13,C
ZOR,AR01,AR01,,2399183,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413321,,,,,,,1000417454,COOP.OBRERA LTDA. DE CONSUMO Y VIVI,,,,1000413321,COOP.OBRERA 47 CNEL.PRINGLES II,,CORONEL PRINGLES,7530,,,,1,AR-SURN-PR,DEL,,2,6204,,10,CS,140.28,146.74,,2844.12,ARS,0.17,C
ZOR,AR01,AR01,,2399306,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413983,,,,,,,1000417466,JUMBO RETAIL ARGENTINA S.A.,,,,1000413983,DISCO 441 ESTRADA,,CORDOBA,5000,,,,3,AR-CTRO-CO,DEL,,2,6211,,15,CS,109.6,121.655,,6745.35,ARS,0.21,C
ZOR,AR01,AR01,,2399353,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1001208784,,,,,,,1000417454,COOP.OBRERA LTDA. DE CONSUMO Y VIVI,,,,1001208784,COOP.OBRERA 113-NEUQUEN II,,NEUQUEN,,,,,,AR-SURO-NQ,DEL,,3,6202,,8,CS,69.68,74.62,,3073.26,ARS,0.1,C
ZOR,AR01,AR01,,2399540,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413745,,,,,,,1000417466,JUMBO RETAIL ARGENTINA S.A.,,,,1000413745,DISCO 55 J.B.JUSTO,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,2,CS,12.2,13.35,,1246.48,ARS,0.03,C
ZOR,AR01,AR01,,2399541,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413745,,,,,,,1000417466,JUMBO RETAIL ARGENTINA S.A.,,,,1000413745,DISCO 55 J.B.JUSTO,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,11,CS,98.6,105.39,,5071.28,ARS,0.14,C
ZOR,AR01,AR01,,2400553,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413299,,,,,,,1000417454,COOP.OBRERA LTDA. DE CONSUMO Y VIVI,,,,1000413299,COOP.OBRERA 98 MONTE HERMOSO II,,BAHIA BLANCA,8000,,,,1,AR-SURN-BB,DEL,,2,6204,,12,CS,116.16,123.52,,4051.24,ARS,0.15,C
ZOR,AR01,AR01,,2400554,02/09/2016,00/01/1900,,,02/09/2016,,02/09/2016,1000413372,,,,,,,1000417454,COOP.OBRERA LTDA. DE CONSUMO Y VIVI,,,,1000413372,COOP.OBRERA 77 VIEDMA,,VIEDMA,8500,,,,22,AR-SURN-VI,DEL,,2,6204,,4,CS,20.6,24.498,,2329.9,ARS,0.06,C
ZOR,AR01,AR01,,2401141,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414220,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414220,CARREFOUR 254 EXPRESS LAS LOMAS,,SAN ISIDRO,1642,,,,1,AR-BUE-SMK,DEL,,2,6207,,2,CS,19,20.23,,1096.42,ARS,0.02,C
ZOR,AR01,AR01,,2401142,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414279,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414279,CARREFOUR 130 EXPRESS MAR DEL PLATA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,2,CS,20.64,22.03,,911.69,ARS,0.04,C
ZOR,AR01,AR01,,2401143,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414367,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414367,CARREFOUR 211 ITALIA,,MARTINEZ,1640,,,,1,AR-BUE-SMK,DEL,,2,6207,,3,CS,36,37.98,,1306.85,ARS,0.05,C
ZOR,AR01,AR01,,2401144,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414296,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414296,CARREFOUR 191 EXPRESS MAR DEL PLATA,,MAR DEL PLATA,7600,,,,1,AR-PBA-MDP,DEL,,2,6245,,2,CS,23.64,25.05,,828.41,ARS,0.03,C
ZOR,AR01,AR01,,2401145,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414363,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414363,CARREFOUR 252 ACASSUSO,,MARTINEZ,1640,,,,1,AR-BUE-SMK,DEL,,2,6207,,1,CS,9,9.6,,548.21,ARS,0.01,C
ZOR,AR01,AR01,,2401146,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414319,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414319,CARREFOUR 109 EXPRESS LA PLATA,,LA PLATA,1900,,,,1,AR-BUE-SMK,DEL,,2,6207,,2,CS,25,26.42,,1057.66,ARS,0.03,C
ZOR,AR01,AR01,,2401147,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414331,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414331,CARREFOUR 187 EXPRESS ESCOBAR,,ESCOBAR,1678,,,,1,AR-BUE-SMK,DEL,,2,6207,,2,CS,27,28.47,,974.6,ARS,0.04,C
ZOR,AR01,AR01,,2401148,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414256,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414256,CARREFOUR 120 EXPRESS BELGRANO,,CAPITAL FEDERAL,1428,,,,0,AR-BUE-SMK,DEL,,2,6207,,2,CS,27,28.55,,974.6,ARS,0.04,C
ZOR,AR01,AR01,,2401149,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414256,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414256,CARREFOUR 120 EXPRESS BELGRANO,,CAPITAL FEDERAL,1428,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,4.44,5.34,,723.45,ARS,0.02,C
ZOR,AR01,AR01,,2401150,02/10/2016,00/01/1900,,,02/10/2016,,02/11/2016,1000414306,,,,,,,1000417505,INC SOCIEDAD ANONIMA,,,,1000414306,CARREFOUR 5 VELEZ SARFIELD,,CAPITAL FEDERAL,1408,,,,0,AR-BUE-SMK,DEL,,2,6207,,1,CS,7.98,9.42,,799.97,ARS,0.03,C
